Item Number,Description,Vendor,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,,Mandatory,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
MCP4Y10-N002,NVIDIA MCP4Y10-N002 DAC Cable IB Twin Port NDR up to 800Gb/s 2m,Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$329.00,Eaches,MCP4Y10-N002,Nvidia Corporation,MCP4Y10-N002,112,,,30,15,30,600mm,800mm,100mm,15.215KG (Gross weight with product and accessories),,EAR99,844.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MCP7Y40-N003,"NVIDIA passive copper splitter cable, IB twin port NDR 800Gb/s to 4x200Gb/s, OSFP to 4xQSFP112, 3m",Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$643.00,Eaches,MCP7Y40-N003,Nvidia Corporation,MCP7Y40-N003,140,,,40,10,30,405mm,405mm,260mm,1.01KG,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MCX623436AC-CDAB,"ConnectX®-6 Dx EN adapter card, 100GbE, OCP3.0, With Host Management, Dual-port QSFP56, PCIe 4.0 x16, Crypto and Secure Boot, Thumbscrew (Pull Tab) Bracket",Nvidia Corporation,NIC/DPU,Darryl Pearson,Darryl Pearson,Inventory,No,$762.00,Eaches,MCX623436AC-CDAB,Nvidia Corporation,MCX623436AC-CDAB,140,,,66,22,72,335mm,445mm,150mm,.602KG,,5A992.c,8517.62.0090,Average,Server Components,144502,,,,,,,,,,,,
MCX631432AC-ADAB,NVIDIA MCX631432AC-ADAB ConnectX-6 Lx EN Adapter Card OCP3.0 25GbE Crypto Enabled,Nvidia Corporation,NIC/DPU,Darryl Pearson,Darryl Pearson,Inventory,No,$235.00,Eaches,MCX631432AC-ADAB,Nvidia Corporation,MCX631432AC-ADAB,0,,,66,22,72,287mm,297mm,205mm,.699KG,,5A992.c,8517.62.0090,Average,Server Components,144502,,,,,,,,,,,,
MCX75310AAS-NEAT,NVIDIA ConnectX-7 NDR 400G InfiniBand Adapter Card MCX75310AAS-NEAT,Nvidia Corporation,NIC/DPU,Darryl Pearson,Darryl Pearson,Inventory,No,$874.00,Eaches,MCX75310AAS-NEAT,Nvidia Corporation,MCX75310AAS-NEAT,112,,,80,20,54,335mm,445mm,150mm,.553KG,,5A991.b.1,8517.62.0090,Average,Server Components,144502,,,,,,,,,,,,
MCX755106AC-HEAT,NVIDIA MCX755106AC-HEAT ConnectX-7 Adapter Card 200GbE/NDR200 Crypto Enabled,Nvidia Corporation,NIC/DPU,Darryl Pearson,Darryl Pearson,Inventory,No,"$1,006.00",Eaches,MCX755106AC-HEAT,Nvidia Corporation,MCX755106AC-HEAT,0,,,80,20,54,600mm,998mm,286mm,25.85KG (Gross weight with product and accessories),,5A991.b.1,8517.62.0090,Average,Server Components,144502,,,,,,,,,,,,
MCX755106AS-HEAT,NVIDIA MCX755106AS-HEAT ConnectX-7 Adapter Card 200GbE/NDR200 Crypto Disabled,Nvidia Corporation,NIC/DPU,Darryl Pearson,Darryl Pearson,Inventory,No,$874.00,Eaches,MCX755106AS-HEAT,Nvidia Corporation,MCX755106AS-HEAT,0,,,80,20,54,335mm,445mm,150mm,.553KG,,5A992.c,8517.62.0090,Average,Server Components,144502,,,,,,,,,,,,
MED2-2LGX-KIT,"1 x Cassette Chassis with 4 x Bays in 1RU 
2 x Medium Density Cassettes 
4 x 1m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Consumables and Misc.,Jon Merendino,Swapnil Kale,Inventory,No,$935.00,Eaches,MED2-2LGX-KIT,Luma,MED2-2LGX-KIT,30,1,,,,,,,,,,EAR99,8517180050,Average,Network Communication,144502,,,,,,,,,,,,
MED4-4LGX-KIT,"1 x Cassette Chassis with 4 x Bays in 1RU 
4 x Medium Density Cassettes 
8 x MPO8 to MPO8 (or MPO12 to MPO12) Cables",Luma,Consumables and Misc.,Jon Merendino,Swapnil Kale,Inventory,No,"$1,765.00",Eaches,MED4-4LGX-KIT,Luma,MED4-4LGX-KIT,30,1,,,,,,,,,,EAR99,8517180050,Average,Network Communication,144502,,,,,,,,,,,,
MFA7U10-H005,"NVIDIA AOC splitter, IB twin port HDR, 400Gb/s to 2x200Gb/s, OSFP to 2xQSFP56, 5m",Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$657.00,Eaches,MFA7U10-H005,Nvidia Corporation,MFA7U10-H005,140,,,22,11,100,240mm,335mm,208mm,0.292KG,,5A991.b.1,8517.62.0090,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFMC-12DP,"12 Slots 10/100M and 10/100/1000M Mini Media Converter Chassis, 1U Rack Mount, Dual Power AC 220V",FS.com,Consumables and Misc.,Dan,Dan Money,Non-Inventory Item,No,$110.00,Eaches,MFMC-12DP,FS.com,MFMC-12DP,,,,,,,,,,,,,,Average,Network Communication,144500,,,,,,,,,,,,
MFP7E10-N005,NVIDIA MFP7E10-N005 Passive Fiber Cable MMF MPO12 APC to MPO12 APC 5m,Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$34.00,Eaches,MFP7E10-N005,Nvidia Corporation,MFP7E10-N005,0,,,25,25,100,405mm,405mm,260mm,1.01KG,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N007,NVIDIA MFP7E10-N007 Passive Fiber Cable MMF MPO12 APC to MPO12 APC 7m,Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$36.00,Eaches,MFP7E10-N007,Nvidia Corporation,MFP7E10-N007,0,,,20,20,100,405mm,405mm,260mm,1.01KG,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N020,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 20m",Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$51.00,Eaches,MFP7E10-N020,Nvidia Corporation,MFP7E10-N020,0,,,20,20,100,405mm,405mm,260mm,1.01KG,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E20-N010,"NVIDIA PASSIVE FIBER CABLE, MMF, MPO12 APC TO 2XMPO12 APC, 10M",Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$58.00,Eaches,MFP7E20-N010,Nvidia Corporation,980-9I554-00N010,84,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E20-N020,"NVIDIA PASSIVE FIBER CABLE, MMF, MPO12 APC TO 2XMPO12 APC, 20M",Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$116.00,Eaches,MFP7E20-N020,Nvidia Corporation,,84,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E20-N003-P,"NVIDIA PASSIVE FIBER CABLE, MMF, MPO12 APC TO 2XMPO12 APC, 3M",Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$52.00,Eaches,MFP7E20-N003-P,Nvidia Corporation,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E20-N005-P,"NVIDIA PASSIVE FIBER CABLE, MMF, MPO12 APC TO 2XMPO12 APC, 5M",Nvidia Corporation,Cabling,Darryl Pearson,Darryl Pearson,Inventory,No,$55.00,Eaches,MFP7E20-N005-P,Nvidia Corporation,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFS1S00-H008E-P,8M 200G IB HDR QFSP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$688.25,Eaches,MFS1S00-H008E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFS1S00-H009E-P,9M 200G IB HDR QSFP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$693.00,Eaches,MFS1S00-H009E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFS1S00-H010E-P,10M 200G IB HDR QSFP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$697.70,Eaches,MFS1S00-H010E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFS1S00-H011E-P,11M 200G IB HDR QSFP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$702.45,Eaches,MFS1S00-H011E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFS1S00-H020E-P,20M 200G IB HDR QSFP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$745.00,Eaches,MFS1S00-H020E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFS1S00-H025E-P,25M 200G IB HDR QSFP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$768.65,Eaches,MFS1S00-H025E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFS1S00-H030E-P,30M 200G IB HDR QSFP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$792.30,Eaches,MFS1S00-H030E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFS1S00-H040E-P,40M 200G IB HDR QSFP56-QSFP56,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$839.60,Eaches,MFS1S00-H040E-P,Proficium,,14,,,,16,16,17 Inches,17 Inches,17 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MFTK-MM850-SM1310,FLUKE MULTIFIBER PRO KIT WITH 850/1310 NM PMLS,Fluke Electronics Corp,Machinery and Equipment,Dan,Dan Money,Inventory,No,,Eaches,MFTK-MM850-SM1310,Graybar,25644639,,,,,,,,,,,,,,Average,Machinery and Equipment,144502,,,,,,,,,,,,
MMA4Z00-NS,"NVIDIA twin port transceiver, 800Gbps,2xNDR, OSFP, 2xMPO12 APC, 850nm MM F, up to 50m, finned",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$854.00,Eaches,MMA4Z00-NS,Nvidia Corporation,MMA4Z00-NS,112,,,30,50,130,265mm,400mm,100mm,0.410KG,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMA4Z00-NS-T,"TWIN PORT TRANSCEIVER, 800GBPS,2X400GbE, OSFP, 2XMPO12 APC, 850NM MMF, U P TO 50M, FINNED",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$712.00,Eaches,980-9I510-F4NS00,Nvidia Corporation,MMA4Z00-NS-T,112,,,30,30,,,,,,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMA4Z00-NS400,"NVIDIA single port transceiver, 400Gbps,NDR, OSFP, MPO12 APC, 850nm MMF, up to 50m, flat top",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$576.00,Eaches,MMA4Z00-NS400,Nvidia Corporation,MMA4Z00-NS400,112,,,30,50,130,225mm,240mm,250mm,0.354KG,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMA4Z00-NS400-LU,"Single port transceiver, 400Gbps,NDR, OSFP, MPO12 APC, 850nm MMF, up to 50m, flat top",Lumma,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$576.00,Eaches,MMA4Z00-NS400-LU,Lumma,,,,,,,,,,,,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMA4Z00-NS-LU,"Twin port transceiver, 800Gbps,2xNDR, OSFP, 2xMPO12 APC, 850nm MM F, up to 50m, finned",Lumma,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$854.00,Eaches,MMA4Z00-NS-LU,Lumma,,,,,,,,,,,,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMA4Z00-NS400-T,"SINGLE PORT TRANSCEIVER, 400GBPS,400GbE, OSFP, MPO12
APC, 850NM MMF, UP TO 50M, FLAT TOP",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$480.00,Eaches,980-9I51S-F4NS00,Nvidia Corporation,MMA4Z00-NS400-T,112,,,50,30,130,,,,,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMA1T00-VS ,"Mellanox transceiver, 200GbE, up to 200Gb/s, QSFP56, MPO, 850nm, SR4, up to 100M",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$410.00,Eaches,980-9I20T-00V000,Nvidia Corporation,MMA1T00-VS ,112,,,50,30,130,,,,,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMS4X00-NS-T,"TWIN PORT TRANSCEIVER, 800GBPS,2X400GbE, OSFP, 2XMPO12 APC, 1310NM SMF, UP TO 100M, FINNED",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,"$1,024.00",Eaches,980-9I30H-F4NM00,Nvidia Corporation,MMS4X00-NS-T,112,,,50,30,130,,,,,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMS1V00-WM,"NVIDIA 400G QSFP-DD, 1310nm, MPO, DR4, up to 500m",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$695.00,Eaches,MMS1V00-WM,Nvidia Corporation,MMS1V00-WM,112,,,30,25,90,50mm,194mm,17mm,0.410KG,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMS1V50-WM-P,400BASE-FR4 QSFP-DD Transceiver,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$745.00,Eaches,MMS1V50-WM-P,Proficium,,14,,,,100,24,14 Inches,11 Inches,10 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMS1V90-WR-P,400BASE LR4 QSFP-DD Transceiver,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,,Eaches,MMS1V90-WR-P,Proficium,MMS1V90-WR-P,14,,,,100,24,14 Inches,11 Inches,10 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMS1V70-CM,100GbE QSFP28 DR1 Transceiver | 980-9I042-00C000,Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,$260.00,Eaches,980-9I042-00C000,Nvidia Corporation,MMS1V70-CM,112,,,30,,90,,,,,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MMS4X00-NS,"NVIDIA twin port transceiver, 800Gbps,2xNDR, OSFP, 2xMPO12 APC, 1310nm SMF, up to 100m, finned",Nvidia Corporation,Transceiver,Darryl Pearson,Darryl Pearson,Inventory,No,"$1,024.00",Eaches,MMS4X00-NS,Nvidia Corporation,MMS4X00-NS,238,,,30,50,,265mm,400mm,100mm,0.400KG,,5A991.b.1,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
MPO8-8LC-SM-1M-LU,"1m MPO-8 Female APC 8 Strand to 4 Duplex LC UPC Singlemode Yellow Breakout Cable, Type B, 0.5m Breakout Length",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$51.30,Eaches,MPO8-8LC-SM-1M-LU,Luma,MPO8-8LC-SM-1M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-8LC-SM-2M-LU,"2m MPO-8 Female APC 8 Strand to 4 Duplex LC UPC Singlemode Yellow Breakout Cable, Type B, 0.5m Breakout Length",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$52.20,Eaches,MPO8-8LC-SM-2M-LU,Luma,MPO8-8LC-SM-2M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-8LC-SM-3M-LU,"3m MPO-8 Female APC 8 Strand to 4 Duplex LC UPC Singlemode Yellow Breakout Cable, Type B, 0.5m Breakout Length",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$53.10,Eaches,MPO8-8LC-SM-3M-LU,Luma,MPO8-8LC-SM-3M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-8LC-SM-5M-LU,"5m MPO-8 Female APC 8 Strand to 4 Duplex LC UPC Singlemode Yellow Breakout Cable, Type B, 0.5m Breakout Length",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$54.00,Eaches,MPO8-8LC-SM-1M-LU,Luma,MPO8-8LC-SM-1M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-8LC-SM-100M-LU,"100m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$189.60,Eaches,MPO8-MPO8-SM-100M-LU,Luma,MPO8-MPO8-SM-100M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-MPO8-SM-10M-LU,"10m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$71.20,Eaches,MPO8-MPO8-SM-10M-LU,Luma,MPO8-MPO8-SM-10M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-MPO8-SM-6M-LU,"MPO8-MPO8-SM-6M-LU 6m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$67.20,Eaches,MPO8-MPO8-SM-6M-LU,Luma,MPO8-MPO8-SM-6M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-MPO8-SM-8M-LU,"MPO8-MPO8-SM-8M-LU 8m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$69.00,Eaches,MPO8-MPO8-SM-8M-LU,Luma,MPO8-MPO8-SM-8M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-MPO8-SM-9M-LU,"MPO8-MPO8-SM-9M-LU 9m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$70.00,Eaches,MPO8-MPO8-SM-9M-LU,Luma,MPO8-MPO8-SM-9M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-MPO8-SM-11M-LU,"MPO8-MPO8-SM-11M-LU 11m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$71.20,Eaches,MPO8-MPO8-SM-11M-LU,Luma,MPO8-MPO8-SM-11M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-MPO8-SM-65M-LU,"MPO8-MPO8-SM-65M-LU 65m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$146.26,Eaches,MPO8-MPO8-SM-65M-LU,Luma,MPO8-MPO8-SM-65M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MPO8-MPO8-SM-105M-LU,"MPO8-MPO8-SM-105M-LU 105m MPO Female APC to MPO Female APC 8 Fibers OS2 9/125 Single Mode Trunk Cable, Polarity B",Luma,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$280.40,Eaches,MPO8-MPO8-SM-105M-LU,Luma,MPO8-MPO8-SM-105M-LU,30,1,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
PWR-450W-AC,"PA-3400,PA-1400 450W SPARE POWER SUPPLY",Palo Alto,Consumables and Misc.,Jon Merendino,Brittany Ola'Dehinbo,Inventory,No,$551.57,Eaches,PWR-450W-AC,ASA Computers,NW-CW-PAN-PWR-450W-AC,3,2,,,1,1,26,10,8,7lbs,,EAR99,8504.40.8500,Average,Network Communication,144502,,,,,,,,,,,,
PWR-450W-AC,"PA-3400,PA-1400 450W SPARE POWER SUPPLY",Palo Alto,Consumables and Misc.,Jon Merendino,Brittany Ola'Dehinbo,Inventory,No,$551.57,Eaches,PWR-450W-AC,ASA Computers,NW-CW-PAN-PWR-450W-AC,3,2,,,1,1,26,10,8,7lbs,,,,Average,Network Communication,144502,,,,,,,,,,,,
NET-ACTIVELOGIC-03,"SYS-111C-NR-ALGC3-CI061*
1x Intel 8462Y+
16x 32GB DDR5
2 x SSDPF2KX076T1N1
2 x MCX623106AC-CDAT
1 x MCX623436AC-CDAB",Super Micro Computer Inc.,CPU Server / Chassis,Sekou Sako,Sekou Sako,Inventory,Yes,"$11,200.00",Eaches,SYS-111C-NR-ALGC3-CI061*,Super Micro Computer Inc.,SYS-111C-NR-ALGC3-CI061*,80,,,,,,,,,,,5A992C,8471.49.0000,Specific,Configured CPU Server,144502,,,,,,,,,,,,
QDD-400G-DR4-LU,"400G QSFP-DD Transceiver, 400GBASE-DR4, MPO-12, 500m parallel SMF Mellanox",Luma,Transceiver,Jon Merendino,Swapnil Kale,Inventory,No,$675.00,Eaches,L400-DR4-LU-06 or L400-DR4-S-49.50,Luma,L400-DR4-LU-06 or L400-DR4-S-49.50,30,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QDD-400G-DR4-S-LU,"400G QSFP-DD Transceiver, 400GBASE-DR4, MPO-12, 500m parallel SMF Mellanox",Luma,Transceiver,Jon Merendino,Swapnil Kale,Inventory,No,$675.00,Eaches,L400-DR4-LU-06 or L400-DR4-S-49.50,Luma,L400-DR4-LU-06 or L400-DR4-S-49.50,30,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QDD-400G-FR4-S-LU,"400G QSFP-DD Transceiver, 400G-FR4, Duplex LC UPC, 2km Duplex SMF Mellanox Compatible",Luma,Transceiver,Jon Merendino,Swapnil Kale,Inventory,No,$775.00,Eaches,QDD-400G-FR4-S-LU,Luma,QDD-400G-FR4-S-LU,30,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QDD-400G-LR4-S-LU,"400G QSFP-DD Transceiver, 400GBASE-LR4, Duplex LC UPC, 10km Duplex SMF Mellanox Compatible",Luma,Transceiver,Jon Merendino,Swapnil Kale,Inventory,No,$875.00,Eaches,QDD-400G-LR4-S-LU,Luma,QDD-400G-LR4-S-LU,30,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QDD-400G-SR8-S-LU,"400GBASE-SR8 QSFP-DD PAM4 850nm 100m APC MTP/MPO-16 MMF, Can be used for 2X 200G-SR4 and 8x 50G-SR breakout",Luma,Transceiver,Jon Merendino,Swapnil Kale,Inventory,No,$355.00,Eaches,QDD-400G-SR8-S-LU,Luma,QDD-400G-SR8-S-LU,30,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QFX10002-72Q,QFX10002 SYST W/ 72PORT 40G PERP QSFP+ 24PORT 100G QSFP28/ 288PORT,Juniper,Network Switches,Jon Merendino,Brittany Ola'Dehinbo,Inventory,Yes,,Eaches,QFX10002-72Q,ASA Computers,NW-CW-JNP-QFX10002-72Q,21,2,,,1,1,45,30,18,90lbs,,5A991,8517.62.0020,Specific,Switches,144502,,,,,,,,,,,,
QSFP-100G-AOC10M-LU,QSFP 100G Active Optical Cable 10M Cisco to Arista,Luma,Optic,Jon Merendino,Swapnil Kale,Inventory,No,$177.00,Eaches,QSFP-100G-AOC10M-LU,Luma,QSFP-100G-AOC10M-LU,15,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QSFP-100G-AOC2M-LU,QSFP 100G Active Optical Cable 2M Cisco to Arista,Luma,Optic,Jon Merendino,Swapnil Kale,Inventory,No,$167.00,Eaches,QSFP-100G-AOC2M-LU,Luma,QSFP-100G-AOC2M-LU,15,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QSFP-100G-CWDM4-AR,100GBASE-CWDM4 QSFP Transceiver,Proficium,Transceiver,Jon,Swapnil Kale,Inventory,No,$175.00,Eaches,QSFP-100G-CWDM4-AR,Proficium,,14,,,,100,24,14 Inches,11 Inches,10 Inches,,,5A001,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
QSFP-100G-CWDM4-I-LU,100G CWDM4 2km I-temp QSFP28 2km Juniper/Arista/Cumulus,Luma,Transceiver,Jon Merendino,Swapnil Kale,Inventory,No,$230.00,Eaches,QSFP-100G-CWDM4-I-LU,Luma,QSFP-100G-CWDM4-I-LU,15,1,,,,,,,,,,5A991,8517.62.0090,Average,Transceivers and Optics,144502,,,,,,,,,,,,
